Sample in Buffer,Sample in Window,TRIGGER,g_ila.axis_ila_wrapper_1/data_out_12b[0][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][3][11:0],g_ila.axis_ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
723,723,0,3e5,a9b,c7c,612,8f9,326,643,c8a,344,5ef,c63,abd,ca3,666,315,8cf,6c2,30c,87e,d02,81f,d00,8a4,30b,b4b,47a,418,ae6,c37,b0a,441,463,0
724,724,0,336,92b,cf4,792,a75,3d1,4db,bab,404,497,b6a,be1,cfa,7f3,2fb,745,853,305,6ee,cd1,692,cb0,a1d,3a0,c4a,5ba,34a,97d,b33,c28,570,37b,0
725,725,0,2f4,798,cf5,925,bad,4d8,3cb,a7c,52a,3a1,a26,cad,ce5,97b,34b,5c0,9d1,375,575,c25,524,be9,b6a,490,cde,737,2f0,7f2,9d4,cd1,6e5,304,0
726,726,0,334,613,c81,a94,c8e,63a,32b,907,68d,30e,8ad,d00,c50,add,421,481,b2e,457,441,b10,406,ac8,c62,5dc,d00,8c7,318,66d,84f,d03,877,30a,0
727,727,0,3e7,4c2,b90,bc8,cfd,7c2,2f3,774,815,2fb,719,cd9,b50,bfd,54a,38f,c38,592,369,9b7,33d,958,ceb,75b,c9f,a3a,3a8,507,6cf,cc8,9f5,38b,0
728,728,0,4fd,3bb,a58,c9a,cef,940,33b,5f9,9a0,360,5a6,c3a,a05,cbb,6af,30c,cdb,70c,303,833,2f3,7cd,cf9,8e8,bcb,b85,4ad,3ed,556,c0e,b46,474,0
729,729,0,650,324,8e4,cfb,c67,ab6,3f8,4ad,b01,435,463,b32,880,cff,83e,304,d02,89c,310,6a5,320,647,c91,a68,aa6,c70,607,332,42c,af5,c4b,5b5,0
730,730,0,7db,2f4,74d,ce9,b75,bdf,517,3aa,c0e,564,380,9e6,6f8,ccd,9c0,373,cba,a13,39e,53c,3bc,4e7,bb3,ba2,933,cf3,783,2f2,35d,990,ce5,732,0
731,731,0,96d,349,5d6,c54,a36,ca9,678,316,cc6,6d5,2f9,85e,580,c2a,b19,451,bf6,b61,492,412,4cd,3d5,a86,c85,7ad,cf2,90f,326,2fa,80b,d06,8c4,0
732,732,0,ad4,410,489,b63,8ba,cff,805,2fb,cfe,863,308,6d3,446,b18,c2f,588,ad7,c61,5d0,34e,622,328,916,cf8,625,c82,a7f,3d3,318,67b,ca9,a3a,0
733,733,0,bf5,537,394,a14,72a,ce4,98e,35c,cc3,9e4,37b,563,36c,9b7,cd2,6f9,970,ce6,753,2f8,7aa,2f5,784,cea,4ca,ba3,bb9,4e8,3ab,519,bde,b7a,0
734,734,0,cb8,6a5,309,89c,5b1,c4e,af4,420,c0f,b3c,465,433,2fd,83f,d04,88a,7e2,d02,8e5,325,936,335,602,c6f,3c3,a67,c93,646,4ad,3fd,ab9,c70,0
735,735,0,d00,830,303,70b,46f,b45,c0b,555,af9,c3f,5aa,35b,308,6af,cb7,a08,662,c9c,a5a,3c4,aa4,3ec,4b2,b85,31a,8ea,cf6,7cb,5ff,343,950,cf2,0
736,736,0,cd7,9b0,366,58f,37f,9f0,cc2,6c7,99e,cdb,723,2fd,38f,53a,c02,b57,4ff,bca,b9a,4c9,bcb,504,3ae,a44,2f7,759,ce4,955,776,2f7,7c1,cfb,0
737,737,0,c34,b12,43d,457,307,86d,d02,852,813,cfc,8af,30f,485,417,add,c52,3e6,a9a,c81,61a,ca3,66b,312,8c8,33e,5dc,c5c,abd,908,331,638,c8d,0
738,738,0,b2a,c16,577,375,305,6e1,ccd,9d4,683,ca8,a27,3a6,5cc,353,976,ce9,330,921,cfe,79e,cfa,7f5,2f0,738,3f7,494,b67,be9,a80,3d2,4e8,bb1,0
739,739,0,9cf,cd0,6ea,2ff,374,571,c21,b2f,523,bdb,b73,49f,742,2f5,7ed,cfb,2fb,797,cf1,92f,ce2,976,351,5bc,524,399,a1f,cab,bb4,4e1,3ce,a7b,0
740,740,0,845,d05,876,30c,45b,43f,b0d,c35,402,ac0,c63,5e7,8d5,31d,665,ca3,33a,617,c7f,a9a,c49,ade,41c,477,68a,30d,8a0,cfd,c92,63c,329,8fe,0
741,741,0,6b7,cbf,9fb,389,599,365,9aa,cd7,344,954,cef,768,a4a,3b8,504,bca,3f3,4c7,b98,bcb,b4f,bfa,544,38b,823,2f9,715,cd9,cff,7c5,2fa,774,0
742,742,0,54d,c0b,b4b,477,70c,2fe,827,d00,2f4,7c2,cf4,8f8,b8d,4b7,3e8,aa4,4fe,3ba,a5a,ca4,9fe,cbf,6b0,307,9a5,358,59a,c3c,cf0,957,347,5f3,0
743,743,0,428,aeb,c4c,5ba,89d,30c,69a,cb5,32a,63e,c8d,a72,c7a,604,339,92f,662,324,8dc,d00,87f,d03,839,2fd,b00,435,45c,b2f,c71,ac5,403,49c,0
744,744,0,350,986,ce7,731,a18,394,531,bf5,3c6,4df,bb6,ba9,cf7,78f,2fb,7a3,7ef,2fa,74e,cea,6ef,ccb,9c4,36b,c1c,565,378,9dc,b7c,be7,521,3a2,0
745,745,0,2fc,805,d04,8c4,b63,494,40d,acb,4d4,3d5,a7c,c8d,cfa,923,332,615,976,34c,5cf,c5c,57b,c28,b1e,44d,cc5,6da,2fd,854,a33,cab,686,317,0
746,746,0,31d,675,ca2,a3b,c60,5dd,34a,962,634,326,907,cf9,c7c,a8f,3e0,4ca,add,41b,48c,b5e,442,b17,c28,585,d02,861,2ff,6ce,8bd,d04,812,300,0
747,747,0,3ad,50e,bdb,b80,ced,759,2f3,7d7,7b5,2f4,778,cf0,b95,bc3,4f4,3c1,c00,53c,38f,a14,36b,9be,cd0,6f7,cc5,9e9,380,557,728,ce6,999,368,0
748,748,0,4ad,3f4,aa9,c73,cfb,8e7,322,656,940,33e,5f9,c6f,a5d,c9b,655,326,cbb,6a8,30e,894,2f5,831,d07,883,c0c,b36,469,42c,5b0,c47,af7,42d,0
749,749,0,5fa,338,943,cf0,c96,a5e,3be,4ed,aad,3f8,4af,b7e,8e8,cfd,7d6,2f4,d06,832,2ff,705,303,6a6,cb1,a0d,afb,c3d,5a3,350,470,b3c,c10,561,0
750,750,0,781,2f7,7b6,cf9,bbd,b9b,4cd,3da,bdb,515,3a8,a3b,756,ce7,96c,343,cd7,9c6,36f,593,38c,538,bf5,b5a,99a,cd9,725,2f9,386,9f5,cca,6d0,0
751,751,0,911,32c,630,c84,a91,c7e,623,335,ca3,674,318,8c0,5e1,c5b,ad4,40d,c33,b1d,449,451,480,418,ada,c4f,813,cfd,8ae,313,30e,86b,d02,860,0
752,752,0,a80,3d5,4d4,ba7,91a,cf2,7a5,2f9,d03,800,2f9,732,494,b5d,bec,52f,b29,c2a,575,373,5c6,34a,975,ce9,686,cae,a2c,3a6,30d,6db,cca,9df,0
753,753,0,bb2,4ec,3c9,a69,78a,cf5,92d,335,cda,986,353,5b4,398,a17,cb5,69b,9d1,ccc,6ee,306,743,2f5,7ea,cfd,523,be0,b75,49a,380,56f,c1e,b35,0
754,754,0,c93,63d,328,8f8,60b,c78,a9c,3e4,c47,aee,42e,472,311,89c,cff,824,846,d07,880,30b,8d6,319,660,c9f,3f6,ab8,c66,5eb,461,43d,b08,c3f,0
755,755,0,cfa,7d1,2f6,765,4bf,b89,bcd,500,b48,c0b,54a,38a,300,70b,cdc,9af,6bd,cc4,a05,393,a4e,3af,4fc,bca,333,954,cef,76b,59c,368,9aa,ce2,0
756,756,0,cee,953,343,5e1,3b4,a46,c9c,661,9f7,cbf,6c3,307,360,594,c37,b0a,54c,c09,b50,483,b90,4bc,3db,a97,2f1,7bd,cfa,8f4,71e,301,81a,d07,0
757,757,0,c66,ac2,403,4a2,31c,8d4,cfb,7f1,879,cff,851,2fc,445,45d,b29,c1d,425,aed,c50,5c2,c75,608,32f,927,31d,63f,c90,a6b,8a5,30c,69b,cb0,0
758,758,0,b69,be4,523,3a1,2f8,746,ce6,977,6ec,cce,9d9,371,571,373,9d4,cc5,357,982,ce3,741,cec,790,2f2,799,3c9,4db,bae,ba5,a2d,39c,52f,bef,0
759,759,0,a25,cb0,683,315,34f,5c4,c57,ade,57a,c19,b25,45b,6e4,300,84e,cff,2fd,800,cff,8cc,cf4,91c,32d,611,4d3,3cd,a7c,c85,b6f,493,40e,ac8,0
760,760,0,8b2,d01,815,2ff,41a,47e,b56,c02,440,b0b,c37,590,86f,30a,6bf,cc4,326,675,c9d,a4b,c7b,a91,3dc,4bc,631,320,902,cf7,c6c,5e3,346,963,0
761,761,0,71e,cdd,99c,35f,544,38d,a08,cb9,36a,9b9,cd6,70a,9ee,387,54f,c08,3b4,511,bd8,b85,b99,bc0,4f3,3bb,7af,2f2,775,cee,cef,760,2fe,7d7,0
762,762,0,5a8,c40,b00,435,6ad,30b,880,d07,2fb,824,d01,88e,b43,473,425,aef,4b1,3f0,aad,c77,a59,c9b,649,314,940,334,5f0,c6d,cfe,8f0,321,651,0
763,763,0,465,b39,c1a,55c,834,300,6f8,cd4,310,69f,cb3,a1c,c47,5b3,359,990,606,33b,93b,cf6,8de,cfc,7d6,2f2,aab,3fa,4a5,b7d,c99,a67,3c7,4f5,0
764,764,0,37c,9e7,cc1,6d6,9be,36f,582,c29,397,535,bf2,b63,ce3,72a,2f9,800,785,2fa,7b3,cfa,74f,ce4,965,342,bda,50f,3a8,a38,bbe,bab,4cb,3d7,0
765,765,0,306,862,d03,85e,b18,447,44c,b1d,488,40e,ad2,c5c,cfc,8bc,311,680,918,330,628,c89,5cc,c58,ad0,40a,ca8,670,317,8bd,a8c,c87,628,331,0
766,766,0,305,6d7,cc4,9e5,c25,580,370,9c3,5ce,34a,968,cee,caa,a38,3ab,51a,a8a,3d5,4d6,ba4,488,b60,bf3,52f,cfe,7fc,2fd,72c,917,cff,7b0,2f9,0
767,767,0,37b,55f,c15,b33,ccc,6fa,301,83e,752,2f7,7db,cfb,bdc,b78,4a2,3fa,bc2,4f2,3c6,a6e,397,a15,cb2,697,cdd,98f,353,5b1,789,cfd,941,33f,0
768,768,0,462,430,aff,c43,d05,883,30a,6b0,8de,31b,657,c98,ab3,c72,5f1,33f,c99,648,320,8f4,305,894,cf9,822,c4a,ae9,424,470,60b,c7e,aab,3f8,0
769,769,0,5a0,357,9a4,ce0,cc0,9ff,38d,540,a5b,3c4,4f3,bc4,945,ced,779,2fa,d03,7d6,2fa,767,2fa,707,cd8,9ae,b47,c05,54e,37e,4b8,b87,bd9,509,0
770,770,0,71d,300,815,cfd,c03,b4f,47f,417,b97,4c1,3e2,a92,7b5,cf7,907,32b,cf0,965,34c,5e8,361,592,c34,b08,9ef,cc3,6c4,306,3b7,a48,cab,670,0
771,771,0,8a6,314,688,caf,ae0,c57,5c9,350,c7c,612,32e,925,631,c89,a7b,3d3,c67,ac8,40a,4a1,43e,450,b27,c1e,870,d00,84d,301,323,8cd,d03,7f4,0
772,772,0,a26,39b,525,be8,978,ce1,73c,2f2,cf4,7a2,2f4,78e,4e1,baf,bae,4e2,b74,bf0,528,3a2,56f,369,9cd,ccb,6df,cc6,9d3,376,2f9,745,ce7,980,0
773,773,0,b70,49d,3ff,ac0,7f2,cfc,8ce,31c,cf8,92a,334,60a,3cd,a6b,c90,63b,a2a,cb3,68d,318,6e5,2fa,849,d05,56f,c20,b28,44e,351,5c5,c51,ae9,0
774,774,0,c68,5e9,343,958,669,c9f,a49,3b2,c7a,a9b,3e5,4b5,328,8f8,d00,7c3,8a8,d05,814,302,86e,300,6bc,cc8,435,b0e,c2e,58d,41d,481,b53,c07,0
775,775,0,ce8,764,2f4,7d0,50c,bd0,b8c,4bc,b8c,bc6,4f9,3ba,2f7,76e,cf2,94e,71c,ce1,9a9,36b,9f2,382,54b,c09,360,9af,cd2,707,543,38b,a09,cc3,0
776,776,0,cf0,8f7,327,646,3ea,aa9,c7c,609,a4f,ca0,661,320,33f,5ee,c66,ab8,5a4,c3d,b06,43a,b46,472,425,ae9,2fc,825,d00,895,6b8,30d,886,d04,0
777,777,0,c98,a6a,3c6,4e6,334,932,cec,78b,8d8,cfb,7ea,2f5,3f9,4a0,b76,be5,462,b3c,c18,569,c48,5b1,357,988,306,69b,cb3,a19,847,303,6fa,cd3,0
778,778,0,bb3,ba2,4d3,3d5,2f4,7a4,cf7,91a,749,ce5,973,34f,51b,3a0,a2f,caf,381,9e9,ccb,6d8,ce2,728,2f7,804,393,533,beb,b5c,9c9,374,583,c2c,0
779,779,0,a82,c89,62e,32a,330,625,c82,a83,5cf,c57,ad4,415,681,30f,8b2,cfb,30b,85b,d03,865,d00,8bc,313,674,48b,403,ad4,c5a,b26,450,44b,b1c,0
780,780,0,90a,cf5,7b6,2f7,3df,4cb,ba1,bbc,484,b5b,bf9,53b,813,2fb,726,cdb,30c,6d2,ccd,9ea,ca4,a3a,3a3,510,5d3,345,967,ceb,c30,58f,370,9c2,0
781,781,0,77c,cec,93b,340,4f0,3c0,a66,c9c,38f,a0d,cb8,6aa,996,35c,5a8,c42,385,562,c11,b37,bd9,b7e,4a5,3f5,755,2f0,7d7,cfc,cd3,6fd,303,83c,0
782,782,0,5fc,c76,aae,3f7,64f,320,8ed,cfa,30a,88c,d00,835,af8,42c,46e,b44,467,431,afc,c46,aae,c6b,5f2,333,8d7,315,64b,c99,d08,88e,30c,6aa,0
783,783,0,4af,b83,bda,50e,7dc,2f7,756,ce6,302,6fc,cd0,9be,c0f,563,37c,9eb,5ab,362,9a3,cdc,93d,cef,777,2f5,a59,3b9,4f0,bc2,cbc,a0c,393,53e,0
784,784,0,3a9,a40,ca5,673,960,344,5e1,c5e,367,58a,c2f,b15,cca,6d0,306,867,72a,2fa,811,d05,7b2,cf6,902,324,b9a,4c1,3d8,a8d,bff,b61,48b,416,0
785,785,0,317,8c1,d05,7f8,ac4,409,496,b69,445,449,b20,c26,d01,85b,2ff,6dc,8b0,31c,685,cb1,631,c88,a7c,3ce,c7d,615,329,91a,ade,c53,5d0,350,0
786,786,0,2fd,739,ce2,986,bee,52e,395,a1d,57d,36f,9cc,cce,ccd,9de,378,563,a34,3a9,525,be5,4d7,ba9,baf,4dc,cf1,79b,2f3,78d,97f,ce7,745,2fa,0
787,787,0,34f,5bd,c4d,ae7,cb3,695,30d,8a2,6f0,306,841,d06,c14,b33,462,439,b7c,4aa,406,ac1,3c5,a66,c90,63a,cf1,92a,32f,606,7ee,d02,8d8,31c,0
788,788,0,422,478,b4f,c03,d02,827,302,712,87a,307,6b2,cbb,b03,c3e,59c,35e,c70,5f1,346,958,318,8f9,cfc,7c8,c75,a99,3e4,4b5,665,c9a,a4d,3bb,0
789,789,0,54f,383,9ff,cc3,cd9,9ac,362,598,a02,38f,549,c01,9a6,cd5,712,2fa,cee,76d,2f2,7c8,2ea,767,ceb,94a,b92,bcb,4fa,3ae,507,bc8,b92,4bc,0
790,790,0,6bb,306,87c,d01,c3e,b08,43a,45a,b53,47d,41c,aea,819,d03,8a3,30d,cfc,8fb,32f,63b,33d,5e3,c63,ab5,a48,c9c,661,315,3e8,aa0,c7e,60f,0
791,791,0,845,303,6ef,cd2,b31,c20,570,378,c4f,5be,353,983,694,cb0,a28,39b,c92,a76,3d1,4e3,3fc,49e,b73,bde,8d4,d03,7e6,2f6,33a,932,cf5,795,0
792,792,0,9cc,374,57a,c25,9d5,cc8,6dc,2fc,ce2,742,2f7,7f5,52c,be6,b6b,495,bb3,bae,4d7,3d3,51c,39f,a28,caa,742,ce4,971,34a,2f3,7a2,cfc,920,0
793,793,0,b22,451,43b,b0e,84f,d02,86b,30a,d00,8cc,317,670,407,ac7,c63,5d9,a7f,c85,633,32e,687,30e,8af,cfc,5c2,c53,ade,410,335,61a,c7f,a96,0
794,794,0,c2e,58a,361,9b3,6c9,cbf,9ec,384,ca0,a42,3af,50f,342,95d,ce8,75c,913,cfe,7c1,2f5,80f,2f8,71d,cd9,480,b55,c00,53f,3e5,4c8,b9e,bca,0
795,795,0,cd1,706,2ff,830,55e,c0f,b41,46b,bd4,b84,4af,3f2,2f6,7d2,cfd,8ef,781,cf7,942,343,99a,35c,5a8,c3d,38c,a09,cb3,6a6,4f9,3c1,a68,c98,0
796,796,0,d03,88e,30b,6a3,424,af5,c4a,5ac,aaf,c75,600,338,322,64f,c93,a66,603,c70,abb,3fc,af6,427,464,b39,308,889,d01,835,658,321,8e5,d04,0
797,797,0,cbd,a12,393,533,354,98f,cdd,726,938,cf7,77e,2f9,3c8,4e8,bb9,ba0,4b3,b7d,be2,517,c12,55b,37a,9e8,2fc,6f9,ccb,9bf,7e2,2fb,75a,ce6,0
798,798,0,bf3,b5f,48b,419,2fb,805,d00,8b1,7ad,cf9,90f,32d,4d2,3dd,a87,c85,3ad,a3e,cac,67c,cc6,6ce,2fb,863,366,585,c2d,b15,96f,350,5dd,c61,0
799,799,0,ada,c5b,5d0,344,313,67f,caf,a38,629,c83,a89,3db,623,32f,912,cf1,317,8c7,d04,805,d03,85c,303,6d1,448,44d,b1b,c26,ad7,40e,490,b68,0
800,800,0,96c,cec,74b,2f5,3a7,51a,bdf,b7c,4d1,ba7,bbc,4eb,7a4,2f3,783,ced,300,734,ce7,991,cc6,9de,376,563,57c,370,9c3,cd0,bf9,532,39e,a18,0
801,801,0,7e5,cfc,8d9,321,4a4,3f5,ab6,c6f,3c4,a66,c98,64b,93a,337,607,c6d,35f,5b8,c4a,af0,c1c,b35,45c,430,6ea,303,840,cfe,cbf,6a0,30b,899,0
802,802,0,658,c9d,a58,3b9,5fb,33f,94e,cf1,31c,8f2,cfb,7d1,aac,3ee,4b2,b89,42c,478,b46,c0c,afd,c3b,59c,358,87d,305,6b1,cbd,d00,828,301,70b,0
803,803,0,4fa,bca,b8d,4c4,772,2f9,7bf,cf7,2f2,766,ced,960,bcb,50e,3b2,a43,555,388,9fa,cc7,9a3,cdd,716,2f3,9fc,388,53d,bff,cd7,9ab,36c,59a,0
804,804,0,3e3,a97,c7f,61d,8fe,326,63b,c8f,345,5e2,c64,acc,ca3,665,315,8ce,6c1,311,878,d09,81c,cfe,8a6,30f,b4f,479,41c,ae2,c3a,b0e,445,45a,0
805,805,0,32f,926,cf5,798,a78,3cf,4dc,bb0,408,495,b6e,bed,cfe,7f7,2f5,73d,84c,30b,6e8,ccc,689,cae,a1e,39a,c4e,5c0,34f,97a,b28,c22,573,37d,0
806,806,0,2f7,794,cf4,924,bac,4dc,3cd,a77,527,39f,a2c,cb0,ce8,97e,351,5c3,9de,37c,576,c24,522,be4,b69,493,cde,73a,2f0,7f5,9d5,ccf,6e9,30b,0
807,807,0,330,618,c7b,a98,c8b,633,325,8ff,690,30e,8a6,d08,c53,ae6,420,479,b2f,45e,445,b12,3fd,ac0,c60,5d8,cfa,8cb,312,666,851,d02,878,30f,0
808,808,0,3e6,4be,b90,bce,cfe,7c0,2f7,771,815,2f9,71f,cd7,b52,bfd,548,38a,c39,597,367,9af,33d,957,ce5,75f,ca2,a45,3ad,501,6c6,cc3,9f7,383,0
809,809,0,4fc,3b8,a55,c9e,ced,94a,341,5f0,9a3,35a,5a3,c39,a04,cc1,6b2,30b,cd7,710,305,82b,2f1,7c7,cfe,8eb,bcb,b88,4b5,3e2,558,c0f,b44,479,0
810,810,0,655,321,8dc,cfc,c6e,ab6,3f9,4a1,b05,437,460,b38,883,d04,844,2fb,d05,89c,313,69f,31c,647,c95,a68,aa4,c74,607,32f,42b,aef,c4e,5b2,0
811,811,0,7e7,2f8,74e,ce1,b7c,be2,513,3a5,c18,56a,37b,9dc,6ee,cd3,9cd,370,cb8,a19,39d,537,3c2,4e4,bbb,ba4,935,cf1,787,2ef,35d,98c,ce3,734,0
812,812,0,970,348,5d8,c57,a37,cb3,67a,310,cc6,6df,300,85c,57d,c2a,b21,44e,bf7,b64,48c,40d,4ce,3d3,a7e,c7e,7a7,cf3,910,328,301,806,d05,8c2,0
813,813,0,adb,40e,486,b62,8ba,d04,804,2f9,d04,865,2fe,6ce,446,b17,c2e,58e,ad7,c5a,5d9,34f,62b,324,90b,cfb,620,c7d,a83,3d5,31c,67b,ca9,a3a,0
814,814,0,c00,53b,38f,a0d,726,cdc,994,35f,cc8,9ef,382,557,36a,9be,cd8,6f7,96e,cee,75a,2f9,7ae,2eb,786,cf5,4ce,b9b,bbb,4ec,3ad,51d,bda,b85,0
815,815,0,cba,6aa,30d,890,5ac,c41,af6,42e,c0d,b41,463,427,2f6,834,d06,88b,7e4,cfd,8e6,327,937,339,5ff,c77,3bc,a61,c98,648,4ae,3f6,aaf,c78,0
816,816,0,d05,82c,2f9,707,475,b3f,c0d,554,afb,c48,5ad,354,309,6ae,cba,a0f,655,ca3,a62,3bf,aa6,3e7,4ae,b81,318,8ea,cfd,7d1,5fc,344,949,cf3,0
817,817,0,cd5,9b5,367,58e,37e,9f1,cc5,6c9,99b,cdd,725,2f9,394,53b,bfc,b56,4fa,bc6,b98,4ca,bd0,50a,3ad,a3c,2f3,755,ce8,95d,783,2f6,7ba,cff,0
818,818,0,c33,b16,446,450,303,867,d06,855,811,d02,8b2,311,485,417,ada,c54,3e5,a97,c85,61f,ca4,665,312,8c5,33e,5d6,c5a,acc,90f,32b,634,c8f,0
819,819,0,b26,c24,577,370,305,6dc,ccb,9d5,683,cab,a30,3a4,5cb,348,971,ce5,337,921,cfe,7a6,d00,7f5,2f3,735,403,490,b6f,be7,a80,3d5,4d8,bad,0
820,820,0,9cc,ccb,6ee,302,37c,56f,c1c,b35,526,be6,b78,4a5,747,2f5,7ea,d00,2f8,795,cf5,92c,ce0,97d,34b,5b8,51d,38f,a22,cad,bb4,4e7,3d3,a72,0
821,821,0,844,d0c,87a,30a,45e,433,b0b,c3b,3f9,abe,c66,5ee,8d6,31c,660,ca1,333,616,c7d,a97,c4d,ae4,41b,474,68d,30a,8a2,d06,c8d,642,325,8fb,0
822,822,0,6ba,cc8,9f8,386,593,364,9ab,cdb,33e,951,cf3,768,a54,3b9,502,bcd,3eb,4bc,b99,bce,b4f,c00,544,386,81d,2fa,70b,cda,cfc,7c7,2fa,76f,0
823,823,0,548,c01,b4d,473,70f,2f8,81f,d01,2f5,7c1,cfd,8fc,b94,4bc,3e6,a99,4ff,3b9,a4e,ca5,9fe,cbb,6b1,304,9a6,358,595,c39,cf0,95c,349,5ea,0
824,824,0,424,ae9,c4e,5c0,8a2,314,68e,cb8,323,643,c8b,a6e,c77,60d,332,928,664,31f,8d8,cff,875,d02,83c,2ff,b03,431,458,b2d,c74,abf,403,4a3,0
825,825,0,34e,988,ce9,737,a1d,395,52b,bf5,3cd,4e1,bb3,baf,cf7,790,2f5,7a0,7ed,2fd,74c,ce5,6e9,cca,9c6,366,c18,566,377,9de,b78,be7,522,3ae,0
826,826,0,2f7,7fc,cfe,8c1,b65,496,407,ace,4db,3ca,a7d,c8a,cf5,923,330,61c,96d,34f,5ca,c51,57c,c29,b1f,44e,cc8,6dd,2f9,852,a39,cb0,68e,313,0
827,827,0,31e,673,ca9,a3d,c61,5de,347,966,631,32a,903,cf7,c7d,a92,3e3,4c8,ae4,418,484,b5d,43f,b0f,c2c,581,d04,864,300,6c7,8b4,d08,811,2ff,0
828,828,0,3ab,510,bd6,b82,ce9,75f,2f5,7d0,7bb,2f5,777,cee,b95,bc7,4fb,3b4,bff,53e,397,a17,365,9be,cdc,6fb,cc5,9e6,37b,556,729,cdd,99c,35c,0
829,829,0,4af,3ef,ab2,c71,cf9,8e8,31f,653,946,339,5f8,c6e,a5b,c9d,654,31b,cb8,6ad,30c,88d,2f4,832,d04,887,c10,b40,466,428,5af,c44,afb,42f,0
830,830,0,5fc,335,93f,cf0,c97,a68,3c7,4f2,ab0,3fb,4a7,b75,8e4,cf8,7dc,2f5,d0a,835,302,6fe,30a,6a3,cb3,a11,af7,c40,5a6,357,474,b42,c0d,564,0
831,831,0,786,2f7,7b0,cf6,bc0,b99,4c7,3d7,bdb,510,3ab,a39,74f,ce8,96d,34a,cd0,9c0,371,584,393,53a,bf9,b55,995,cde,723,2f9,388,9f3,ccb,6c9,0
832,832,0,90a,32d,625,c88,a83,c85,627,32f,cab,676,311,8c1,5d1,c57,ad3,40c,c38,b1c,449,44f,482,40f,ad6,c55,80b,cfe,8b3,313,305,86d,d0e,85e,0
833,833,0,a7d,3d5,4d7,ba9,91a,cf2,7a7,2f7,cfe,801,2fb,72d,48a,b61,bed,534,b27,c2d,57c,377,5c8,344,974,ce4,679,ca9,a29,3a0,30b,6da,cca,9e8,0
834,834,0,bb7,4f0,3cb,a69,78b,cf2,933,333,cdf,989,355,5b2,397,a14,cb5,69d,9c7,cd0,6f4,304,747,2f3,7e3,d02,51d,bdd,b7b,4a5,381,565,c1a,b32,0
835,835,0,c94,647,329,8f8,607,c78,aa4,3ec,c4e,af5,42f,473,309,89c,d03,82b,844,d09,883,30e,8d6,315,65d,c9b,3f7,ab5,c6a,5e9,463,438,b09,c3d,0
836,836,0,cfa,7d2,2fa,767,4b7,b88,bd4,506,b46,c0b,552,386,2fb,708,cd4,9b2,6b4,cc3,9fa,38b,a52,3b7,4fd,bc9,338,949,cee,76e,5a8,367,9a4,cdd,0
837,837,0,ce9,958,342,5e8,3b6,a51,ca4,669,9f6,cc4,6bf,302,365,58f,c2e,b0f,544,c05,b4f,482,b93,4ba,3e1,a9a,2f0,7c2,cf9,8fd,718,2fc,820,d07,0
838,838,0,c60,abf,405,49b,31c,8cf,d00,7f0,874,d00,84f,306,43b,459,b2c,c26,417,aec,c54,5c4,c76,614,332,926,319,63a,c86,a6f,8ac,310,695,cb2,0
